unitid,sgtype,functcd,"xstaff01",staff01,"xstaff02",staff02,"xstaff03",staff03,"xstaff04",staff04,"xstaff05",staff05,"xstaff06",staff06,"xstaff07",staff07,"xstaff08",staff08,"xstaff09",staff09,"xstaff10",staff10,"xstaff11",staff11,"xstaff12",staff12,"xstaff13",staff13,"xstaff14",staff14,"xstaff15",staff15,"xstaff16",staff16,"xstaff17",staff17,"xstaff18",staff18,"xstaff19",staff19,"xstaff20",staff20,"xstaff21",staff21,"xstaff22",staff22,"xstaff23",staff23,"xstaff24",staff24
229018,11,7,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",2
229018,12,8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",0,"R",1,"R",0,"R",0,"R",0,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",1,"Z",0,"R",4
229115,1,13,"R",18,"R",8,"R",3,"R",6,"R",1,"R",1,"R",0,"R",3,"R",26,"R",22,"R",85,"R",55,"R",0,"R",0,"R",133,"R",95,"R",26,"R",9,"R",2,"R",3,"R",48,"R",140,"Z",0,"R",228
229115,2,11,"R",9,"R",4,"R",0,"R",2,"R",0,"R",0,"R",0,"R",3,"R",2,"R",1,"R",46,"R",21,"R",0,"R",0,"R",57,"R",31,"R",13,"R",2,"Z",0,"R",3,"R",3,"R",67,"Z",0,"R",88
229115,3,1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",2,"R",0,"R",0,"R",3,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",5
229115,4,2,"R",6,"R",3,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",37,"R",16,"R",0,"R",0,"R",43,"R",22,"R",9,"R",1,"Z",0,"R",1,"R",1,"R",53,"Z",0,"R",65
229115,5,3,"R",3,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0,"R",6,"R",3,"R",0,"R",0,"R",11,"R",7,"R",4,"R",1,"Z",0,"R",2,"R",2,"R",9,"Z",0,"R",18
229115,6,12,"R",9,"R",4,"R",3,"R",4,"R",1,"R",1,"R",0,"R",0,"R",24,"R",21,"R",39,"R",34,"R",0,"R",0,"R",76,"R",64,"R",13,"R",7,"R",2,"Z",0,"R",45,"R",73,"Z",0,"R",140
229115,7,99,"R",9,"R",3,"R",1,"R",2,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"R",19,"R",16,"Z",0,"Z",0,"R",29,"R",24,"R",12,"R",3,"R",1,"Z",0,"R",2,"R",35,"Z",0,"R",53
229115,8,4,"R",1,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",0,"R",0,"R",0,"R",5,"R",2,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"R",7
