UNITID,ARANK,XSTAFF01,STAFF01,XSTAFF02,STAFF02,XSTAFF03,STAFF03,XSTAFF04,STAFF04,XSTAFF05,STAFF05,XSTAFF06,STAFF06,XSTAFF07,STAFF07,XSTAFF08,STAFF08,XSTAFF09,STAFF09,XSTAFF10,STAFF10,XSTAFF11,STAFF11,XSTAFF12,STAFF12,XSTAFF13,STAFF13,XSTAFF14,STAFF14,XSTAFF15,STAFF15,XSTAFF16,STAFF16,XSTAFF17,STAFF17,XSTAFF18,STAFF18,XSTAFF19,STAFF19,XSTAFF20,STAFF20,XSTAFF21,STAFF21,XSTAFF22,STAFF22,XSTAFF23,STAFF23,XSTAFF24,STAFF24 
100654, 1,"R",5,"Z",0,"R",7,"R",5,"Z",0,"Z",0,"R",6,"R",1,"Z",0,"Z",0,"R",3,"R",5,"Z",0,"Z",0,"R",21,"R",11,"R",5,"R",12,"Z",0,"R",7,"Z",0,"R",8,"Z",0,"R",32
100654, 2,"R",6,"Z",0,"R",19,"R",2,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",8,"R",2,"Z",0,"Z",0,"R",36,"R",4,"R",6,"R",21,"Z",0,"R",3,"Z",0,"R",10,"Z",0,"R",40
100654, 3,"R",3,"R",1,"R",12,"R",5,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",22,"R",7,"R",4,"R",17,"Z",0,"R",3,"Z",0,"R",5,"Z",0,"R",29
100654, 4,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
100654, 7,"R",14,"R",1,"R",38,"R",13,"Z",0,"Z",0,"R",11,"R",2,"Z",0,"Z",0,"R",16,"R",7,"Z",0,"Z",0,"R",79,"R",23,"R",15,"R",51,"Z",0,"R",13,"Z",0,"R",23,"Z",0,"R",102
100654, 8,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2
100654, 9,"Z",0,"Z",0,"R",3,"R",1,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",5,"R",4,"Z",0,"R",4,"Z",0,"R",3,"Z",0,"R",2,"Z",0,"R",9
100654,10,"R",1,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",2,"R",3,"R",1,"R",2,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",5
100654,14,"R",1,"Z",0,"R",4,"R",3,"Z",0,"Z",0,"R",4,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"R",9,"R",7,"R",1,"R",7,"Z",0,"R",5,"Z",0,"R",3,"Z",0,"R",16
100654,15,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",7,"R",3,"Z",0,"R",5,"Z",0,"R",2,"Z",0,"R",3,"Z",0,"R",10
