unitid,arank,"xstaff01",staff01,"xstaff02",staff02,"xstaff03",staff03,"xstaff04",staff04,"xstaff05",staff05,"xstaff06",staff06,"xstaff07",staff07,"xstaff08",staff08,"xstaff09",staff09,"xstaff10",staff10,"xstaff11",staff11,"xstaff12",staff12,"xstaff13",staff13,"xstaff14",staff14,"xstaff15",staff15,"xstaff16",staff16,stat_s
236452,9,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",1,"P",0,"P",0,"P",2,"P",0,"P",1,"P",0,"P",3,"P",1,4
236452,10,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",3,"P",0,"P",0,"P",0,"P",3,4
236452,14,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",1,"P",0,"P",0,"P",2,"P",3,"P",1,"P",0,"P",3,"P",4,4
236452,17,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",1,"P",0,"P",0,"P",0,"P",0,"P",0,"P",1,"P",0,4
236452,21,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",1,"P",0,"P",0,"P",0,"P",0,"P",0,"P",1,"P",0,4
236452,22,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",2,"P",1,"P",2,"P",1,"P",31,"P",14,"P",3,"P",2,"P",38,"P",18,4
236504,6,"Z",0,"Z",0,"R",3,"R",1,"R",2,"R",1,"R",4,"R",2,"R",1,"R",2,"R",33,"R",17,"Z",0,"Z",0,"R",43,"R",23,1
236504,7,"Z",0,"Z",0,"R",3,"R",1,"R",2,"R",1,"R",4,"R",2,"R",1,"R",2,"R",33,"R",17,"Z",0,"Z",0,"R",43,"R",23,1
236504,13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",5,"R",2,"Z",0,"Z",0,"R",5,"R",3,1
236504,14,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",5,"R",2,"Z",0,"Z",0,"R",5,"R",3,1
236504,18,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,1
236504,20,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"R",3,"R",1,1
236504,21,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",1,"Z",0,"Z",0,"R",5,"R",1,1
236504,22,"Z",0,"Z",0,"R",4,"R",1,"R",2,"R",1,"R",4,"R",3,"R",1,"R",2,"R",42,"R",20,"Z",0,"Z",0,"R",53,"R",27,1
236513,6,"Z",0,"Z",0,"R",5,"R",6,"R",1,"Z",0,"R",4,"R",12,"R",3,"R",6,"R",40,"R",30,"Z",0,"Z",0,"R",53,"R",54,1
236513,7,"Z",0,"Z",0,"R",5,"R",6,"R",1,"Z",0,"R",4,"R",12,"R",3,"R",6,"R",40,"R",30,"Z",0,"Z",0,"R",53,"R",54,1
236513,13,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"R",10,"R",8,"Z",0,"Z",0,"R",12,"R",10,1
236513,14,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"R",10,"R",8,"Z",0,"Z",0,"R",12,"R",10,1
236513,20,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",14,"Z",0,"Z",0,"R",13,"R",16,1
236513,21,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",14,"Z",0,"Z",0,"R",13,"R",16,1
236513,22,"Z",0,"Z",0,"R",5,"R",9,"R",1,"Z",0,"R",6,"R",13,"R",3,"R",6,"R",63,"R",52,"Z",0,"Z",0,"R",78,"R",80,1
236577,1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",0,"R",47,"R",8,"R",0,"R",0,"R",50,"R",8,1
236577,2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",16,"R",15,"R",0,"R",0,"R",16,"R",15,1
236577,7,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",0,"R",63,"R",23,"R",0,"R",0,"R",66,"R",23,1
236577,8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",4,"R",0,"R",0,"R",0,"R",5,"R",0,1
236577,9,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",7,"R",5,"R",0,"R",0,"R",8,"R",6,1
236577,10,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",12,"R",12,"R",0,"R",0,"R",13,"R",14,1
236577,11,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,1
