UNITID,SGTYPE,FUNCTCD,XSTAFF01,STAFF01,XSTAFF02,STAFF02,XSTAFF03,STAFF03,XSTAFF04,STAFF04,XSTAFF05,STAFF05,XSTAFF06,STAFF06,XSTAFF07,STAFF07,XSTAFF08,STAFF08,XSTAFF09,STAFF09,XSTAFF10,STAFF10,XSTAFF11,STAFF11,XSTAFF12,STAFF12,XSTAFF13,STAFF13,XSTAFF14,STAFF14,XSTAFF15,STAFF15,XSTAFF16,STAFF16,XSTAFF17,STAFF17,XSTAFF18,STAFF18,XSTAFF19,STAFF19,XSTAFF20,STAFF20,XSTAFF21,STAFF21,XSTAFF22,STAFF22,XSTAFF23,STAFF23,XSTAFF24,STAFF24 
100654, 1,13,"Z",0,"Z",0,"R",16,"R",22,"Z",0,"R",1,"R",4,"Z",0,"Z",0,"Z",0,"R",1,"R",3,"Z",0,"Z",0,"R",21,"R",26,"Z",0,"R",38,"R",1,"R",4,"Z",0,"R",4,"Z",0,"R",47
100654, 2,11,"Z",0,"Z",0,"R",2,"R",3,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",5,"R",4,"Z",0,"R",5,"Z",0,"R",2,"Z",0,"R",2,"Z",0,"R",9
100654, 4, 2,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",4,"R",1,"Z",0,"R",2,"Z",0,"R",1,"Z",0,"R",2,"Z",0,"R",5
100654, 5, 3,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",3,"Z",0,"R",3,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",4
100654, 6,12,"Z",0,"Z",0,"R",14,"R",19,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",16,"R",22,"Z",0,"R",33,"R",1,"R",2,"Z",0,"R",2,"Z",0,"R",38
100654, 7,99,"Z",0,"Z",0,"R",6,"R",14,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",8,"R",17,"Z",0,"R",20,"R",1,"R",2,"Z",0,"R",2,"Z",0,"R",25
100654, 8, 4,"Z",0,"Z",0,"R",1,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",5,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6
100654, 9, 6,"Z",0,"Z",0,"R",5,"R",9,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",7,"R",12,"Z",0,"R",14,"R",1,"R",2,"Z",0,"R",2,"Z",0,"R",19
100654,10,99,"Z",0,"Z",0,"R",8,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",5,"Z",0,"R",13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",13
100654,11, 7,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
100654,12, 8,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4
100654,13, 9,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2
100654,14,10,"Z",0,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"Z",0,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6
100663, 1,13,"R",21,"R",15,"R",25,"R",66,"Z",0,"R",1,"R",9,"R",9,"R",4,"R",9,"R",64,"R",139,"Z",0,"Z",0,"R",123,"R",239,"R",36,"R",91,"R",1,"R",18,"R",13,"R",203,"Z",0,"R",362
100663, 2,11,"R",5,"R",5,"R",4,"R",6,"Z",0,"Z",0,"R",4,"R",3,"R",3,"R",2,"R",29,"R",43,"Z",0,"Z",0,"R",45,"R",59,"R",10,"R",10,"Z",0,"R",7,"R",5,"R",72,"Z",0,"R",104
100663, 3, 1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",1,"Z",0,"Z",0,"R",4,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",5
100663, 4, 2,"R",3,"R",2,"R",4,"R",5,"Z",0,"Z",0,"R",3,"R",1,"R",2,"R",2,"R",14,"R",23,"Z",0,"Z",0,"R",26,"R",33,"R",5,"R",9,"Z",0,"R",4,"R",4,"R",37,"Z",0,"R",59
100663, 5, 3,"R",2,"R",3,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",2,"R",1,"Z",0,"R",11,"R",19,"Z",0,"Z",0,"R",15,"R",25,"R",5,"R",1,"Z",0,"R",3,"R",1,"R",30,"Z",0,"R",40
100663, 6,12,"R",16,"R",10,"R",21,"R",60,"Z",0,"R",1,"R",5,"R",6,"R",1,"R",7,"R",35,"R",96,"Z",0,"Z",0,"R",78,"R",180,"R",26,"R",81,"R",1,"R",11,"R",8,"R",131,"Z",0,"R",258
100663, 7,99,"R",16,"R",8,"R",7,"R",14,"Z",0,"R",1,"R",5,"R",6,"R",1,"R",5,"R",18,"R",50,"Z",0,"Z",0,"R",47,"R",84,"R",24,"R",21,"R",1,"R",11,"R",6,"R",68,"Z",0,"R",131
100663, 8, 4,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"R",3,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",4
100663, 9, 6,"R",16,"R",8,"R",6,"R",14,"Z",0,"R",1,"R",5,"R",6,"R",1,"R",5,"R",16,"R",49,"Z",0,"Z",0,"R",44,"R",83,"R",24,"R",20,"R",1,"R",11,"R",6,"R",65,"Z",0,"R",127
100663,10,99,"Z",0,"R",2,"R",14,"R",46,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",17,"R",46,"Z",0,"Z",0,"R",31,"R",96,"R",2,"R",60,"Z",0,"Z",0,"R",2,"R",63,"Z",0,"R",127
100663,11, 7,"Z",0,"R",2,"R",1,"R",15,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",10,"R",17,"Z",0,"Z",0,"R",11,"R",34,"R",2,"R",16,"Z",0,"Z",0,"Z",0,"R",27,"Z",0,"R",45
100663,12, 8,"Z",0,"Z",0,"R",3,"R",22,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",4,"R",28,"Z",0,"Z",0,"R",7,"R",52,"Z",0,"R",25,"Z",0,"Z",0,"R",2,"R",32,"Z",0,"R",59
100663,13, 9,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",3
100663,14,10,"Z",0,"Z",0,"R",9,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"R",11,"R",9,"Z",0,"R",17,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",20
100706, 1,13,"R",5,"R",1,"R",3,"R",9,"Z",0,"R",1,"R",1,"Z",0,"R",2,"Z",0,"R",31,"R",35,"Z",0,"Z",0,"R",42,"R",46,"R",6,"R",12,"R",1,"R",1,"R",2,"R",66,"Z",0,"R",88
100706, 2,11,"R",4,"R",1,"Z",0,"R",2,"Z",0,"Z",0,"R",1,"Z",0,"R",2,"Z",0,"R",10,"R",11,"Z",0,"Z",0,"R",17,"R",14,"R",5,"R",2,"Z",0,"R",1,"R",2,"R",21,"Z",0,"R",31
100706, 4, 2,"R",3,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",5,"R",3,"Z",0,"Z",0,"R",9,"R",4,"R",3,"R",1,"Z",0,"R",1,"Z",0,"R",8,"Z",0,"R",13
100706, 5, 3,"R",1,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",5,"R",8,"Z",0,"Z",0,"R",8,"R",10,"R",2,"R",1,"Z",0,"Z",0,"R",2,"R",13,"Z",0,"R",18
100706, 6,12,"R",1,"Z",0,"R",3,"R",7,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",21,"R",24,"Z",0,"Z",0,"R",25,"R",32,"R",1,"R",10,"R",1,"Z",0,"Z",0,"R",45,"Z",0,"R",57
100706, 7,99,"R",1,"Z",0,"R",1,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",16,"Z",0,"Z",0,"R",15,"R",20,"R",1,"R",5,"Z",0,"Z",0,"Z",0,"R",29,"Z",0,"R",35
100706, 9, 6,"R",1,"Z",0,"R",1,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",16,"Z",0,"Z",0,"R",15,"R",20,"R",1,"R",5,"Z",0,"Z",0,"Z",0,"R",29,"Z",0,"R",35
100706,10,99,"Z",0,"Z",0,"R",2,"R",3,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",8,"Z",0,"Z",0,"R",10,"R",12,"Z",0,"R",5,"R",1,"Z",0,"Z",0,"R",16,"Z",0,"R",22
100706,11, 7,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",7,"Z",0,"Z",0,"R",3,"R",9,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",10,"Z",0,"R",12
100706,12, 8,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"R",2,"R",3,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",3,"Z",0,"R",5
100706,13, 9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2
100706,14,10,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",3
100724, 1,13,"Z",0,"Z",0,"R",18,"R",24,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",2,"R",1,"R",3,"Z",0,"Z",0,"R",19,"R",30,"Z",0,"R",42,"Z",0,"R",1,"R",2,"R",4,"Z",0,"R",49
100724, 2,11,"Z",0,"Z",0,"R",3,"R",7,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",3,"Z",0,"Z",0,"R",3,"R",12,"Z",0,"R",10,"Z",0,"R",1,"R",1,"R",3,"Z",0,"R",15
100724, 4, 2,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",1,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",3
100724, 5, 3,"Z",0,"Z",0,"R",3,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"R",3,"R",9,"Z",0,"R",9,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",12
100724, 6,12,"Z",0,"Z",0,"R",15,"R",17,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"R",16,"R",18,"Z",0,"R",32,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",34
100724, 7,99,"Z",0,"Z",0,"R",7,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",5,"Z",0,"R",11,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",12
100724, 8, 4,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2
100724, 9, 6,"Z",0,"Z",0,"R",5,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",5,"Z",0,"R",9,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",10
100724,10,99,"Z",0,"Z",0,"R",8,"R",13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",9,"R",13,"Z",0,"R",21,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",22
100724,12, 8,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5
100724,13, 9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
100724,14,10,"Z",0,"Z",0,"R",8,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",8,"Z",0,"R",16,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",16
100733, 1,13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"R",4
