UNITID,ARANK,XSTAFF01,STAFF01,XSTAFF02,STAFF02,XSTAFF03,STAFF03,XSTAFF04,STAFF04,XSTAFF05,STAFF05,XSTAFF06,STAFF06,XSTAFF07,STAFF07,XSTAFF08,STAFF08,XSTAFF09,STAFF09,XSTAFF10,STAFF10,XSTAFF11,STAFF11,XSTAFF12,STAFF12,XSTAFF13,STAFF13,XSTAFF14,STAFF14,XSTAFF15,STAFF15,XSTAFF16,STAFF16,XSTAFF17,STAFF17,XSTAFF18,STAFF18,XSTAFF19,STAFF19,XSTAFF20,STAFF20,XSTAFF21,STAFF21,XSTAFF22,STAFF22,XSTAFF23,STAFF23,XSTAFF24,STAFF24 
161226,20,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",3
161226,21,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",14,"Z",0,"Z",0,"R",8,"R",14,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",22,"Z",0,"R",22
161226,22,"C",0,"C",1,"C",0,"C",0,"C",0,"C",0,"C",0,"C",2,"C",0,"C",2,"C",68,"C",55,"C",0,"C",2,"C",68,"C",62,"C",1,"C",0,"C",0,"C",2,"C",2,"C",123,"C",2,"C",130
161235, 1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"C",2,"Z",0,"Z",0,"R",7,"C",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"C",9,"Z",0,"C",9
161235, 2,"Z",0,"C",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"C",3,"Z",0,"Z",0,"R",4,"C",4,"C",0,"Z",0,"R",1,"Z",0,"Z",0,"C",7,"Z",0,"C",8
161235, 7,"Z",0,"C",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"C",5,"Z",0,"Z",0,"R",11,"C",6,"C",0,"Z",0,"R",1,"Z",0,"Z",0,"C",16,"Z",0,"C",17
161235, 9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
161235,10,"R",2,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",4,"R",4,"Z",0,"Z",0,"R",8,"R",5,"R",2,"R",1,"R",1,"Z",0,"R",1,"R",8,"Z",0,"R",13
161235,14,"R",2,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",5,"R",4,"Z",0,"Z",0,"R",9,"R",5,"R",2,"R",1,"R",1,"Z",0,"R",1,"R",9,"Z",0,"R",14
161235,15,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
161235,17,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"R",3,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",4
161235,18,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2
161235,19,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",3
161235,21,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",4,"Z",0,"Z",0,"R",6,"R",4,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"Z",0,"R",10
161235,22,"R",4,"C",0,"Z",0,"R",1,"R",1,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"R",20,"C",13,"Z",0,"Z",0,"R",26,"C",15,"C",4,"R",1,"R",2,"Z",0,"R",1,"C",33,"Z",0,"C",41
161244, 1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",1,"Z",0,"Z",0,"R",5,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"Z",0,"R",6
161244, 2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",5,"Z",0,"Z",0,"R",9,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"Z",0,"R",14
161244, 7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",6,"Z",0,"Z",0,"R",14,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",20,"Z",0,"R",20
