Control,promotion rate male1,promotion rate male2,promotion rate female 1,promotion rate female 2,attrition rate male 1,attrition rate female 1,100 bottom diff,75 bottom diff,100 all diff,75 all diff,100 bottom same,75 bottom same,100 all same,75 all same
Private,0.129731082,0.110327867,0.110614944,0.094637412,0.041335714,0.042502176,34.11904762,54.47619048,22.14285714,41.45238095,32.38095238,51.57142857,20.97619048,39.85714286
Public,0.122753462,0.077125239,0.106184464,0.064390891,0.048775352,0.047552273,29.87323944,44.75352113,18.24647887,32.95774648,28.26760563,42.14084507,17.24647887,31.4084507
