UNITID,SGTYPE,FUNCTCD,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
100663,14,10,"R",16,"R",7,"R",9,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",13,"R",4,"R",9,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100706, 1,13,"R",95,"R",49,"R",46,"R",0,"R",0,"R",0,"R",6,"R",3,"R",3,"R",5,"R",3,"R",2,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",79,"R",40,"R",39,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",3,"R",1
100706, 2,11,"R",15,"R",9,"R",6,"R",0,"R",0,"R",0,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",11,"R",7,"R",4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0
100706, 4, 2,"R",3,"R",2,"R",1,"R",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100706, 5, 3,"R",12,"R",7,"R",5,"R",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",0,"Z",0,"Z",0,"R",9,"R",6,"R",3,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0
100706, 6,12,"R",80,"R",40,"R",40,"R",0,"R",0,"R",0,"R",4,"R",2,"R",2,"R",5,"R",3,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",68,"R",33,"R",35,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",2,"R",1
100706, 7,99,"R",58,"R",31,"R",27,"Z",0,"Z",0,"Z",0,"R",4,"R",2,"R",2,"R",3,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",49,"R",25,"R",24,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0
100706, 8, 4,"R",3,"R",2,"R",1,"R",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100706, 9, 6,"R",55,"R",29,"R",26,"R",0,"Z",0,"Z",0,"R",3,"R",1,"R",2,"R",3,"R",2,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",47,"R",24,"R",23,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0
100706,10,99,"R",22,"R",9,"R",13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",19,"R",8,"R",11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
